maker,model,maker code,model code
Acura,CL,20001,20773
Acura,ILX,20001,47843
Acura,ILX Hybrid,20001,48964
Acura,Integra,20001,21266
Acura,Legend,20001,21380
Acura,MDX,20001,21422
Acura,MDX Sport Hybrid,20001,36306155
Acura,NSX,20001,21685
Acura,RDX,20001,21831
Acura,RL,20001,21782
Acura,RLX,20001,51867
Acura,RLX Sport Hybrid,20001,58167
Acura,RSX,20001,21784
Acura,SLX,20001,21879
Acura,TL,20001,22237
Acura,TLX,20001,57287
Acura,TSX,20001,22248
Acura,Vigor,20001,22362
Acura,ZDX,20001,32888
Alfa Romeo,164,20047,20325
Alfa Romeo,4C,20047,57327
Alfa Romeo,4C Spider,20047,30021900
Alfa Romeo,8c Competizione,20047,34963
Alfa Romeo,8c Spider,20047,36314247
Alfa Romeo,Giulia,20047,21238
Alfa Romeo,Spider,20047,22172
Alfa Romeo,Stelvio,20047,36285237
Am General,Hummer,20002,21235
Aston Martin,DB AR1 Zagato,20003,46643
Aston Martin,DB11,20003,36298053
Aston Martin,DB7,20003,20961
Aston Martin,DB7 Vantage,20003,20955
Aston Martin,DB9,20003,20967
Aston Martin,DBS,20003,20957
Aston Martin,Rapide,20003,37363
Aston Martin,Rapide S,20003,53259
Aston Martin,V12 Vanquish,20003,22247
Aston Martin,V12 Vantage,20003,40743
Aston Martin,V12 Vantage S,20003,57988
Aston Martin,V8 Vantage,20003,22253
Aston Martin,V8 Vantage S,20003,47110
Aston Martin,Vanquish,20003,52728
Aston Martin,Vantage,20003,22266
Aston Martin,Vantage GT,20003,30002548
Aston Martin,Virage,20003,22282
Audi,100,20049,20229
Audi,200,20049,20303
Audi,80,20049,20542
Audi,90,20049,20568
Audi,A3,20049,20591
Audi,A3 e-tron,20049,30026257
Audi,A4,20049,20596
Audi,A4 allroad,20049,35472815
Audi,A5,20049,20593
Audi,A6,20049,20598
Audi,A7,20049,43143
Audi,A8,20049,20595
Audi,allroad,20049,22398
Audi,Cabriolet,20049,20792
Audi,Q3,20049,56290
Audi,Q5,20049,27681
Audi,Q5 hybrid,20049,50823
Audi,Q7,20049,21759
Audi,quattro,20049,21763
Audi,R8,20049,21778
Audi,RS 3,20049,36310105
Audi,RS 4,20049,21783
Audi,RS 5,20049,47273
Audi,RS 7,20049,54467
Audi,RS6,20049,21835
Audi,S3,20049,21855
Audi,S4,20049,21912
Audi,S5,20049,21914
Audi,S6,20049,21859
Audi,S7,20049,21862
Audi,S8,20049,21863
Audi,SQ5,20049,53787
Audi,TT,20049,22159
Audi,TT RS,20049,45283
Audi,TTS,20049,27461
Avanti Motors,Avanti,20050,20662
Bentley,Arnage,20051,20638
Bentley,Azure,20051,20668
Bentley,Bentayga,20051,33535058
Bentley,Brooklands,20051,20719
Bentley,Continental,20051,20849
Bentley,Continental Flying Spur,20051,20868
Bentley,Continental GT,20051,20851
Bentley,Continental GTC,20051,20870
Bentley,Continental Supersports,20051,31863
Bentley,Flying Spur,20051,53407
Bentley,Mulsanne,20051,21680
Bentley,R-Type,20051,21774
Bentley,Turbo R,20051,22303
Bentley,Turbo RL,20051,22215
Bentley,Turbo RT,20051,22304
Bentley,Turbo S,20051,22217
BMW,1-Series,20005,"43243,20281,20292"
BMW,1 Series M,20005,43243
BMW,128,20005,20281
BMW,135,20005,20292
BMW,2-Series,20005,"20321,20356,56207,34434113"
BMW,228,20005,20321
BMW,230,20005,20356
BMW,M235,20005,56207
BMW,M240,20005,34434113
BMW,3-Series,20005,"20439,20406,20443,20408,20444,54409,54812,20409,34991443,33797688,20445,54410,20411,34991691,49843,21392"
BMW,318,20005,20439
BMW,320,20005,20406
BMW,323,20005,20443
BMW,325,20005,20408
BMW,328,20005,20444
BMW,328 Gran Turismo,20005,54409
BMW,328d,20005,54812
BMW,330,20005,20409
BMW,330 Gran Turismo,20005,34991443
BMW,330e,20005,33797688
BMW,335,20005,20445
BMW,335 Gran Turismo,20005,54410
BMW,340,20005,20411
BMW,340 Gran Turismo,20005,34991691
BMW,ActiveHybrid 3,20005,49843
BMW,M3,20005,21392
BMW,4-Series,20005,"20434,57268,20471,34992056,54807,57267,20436,34992145,56127"
BMW,428,20005,20434
BMW,428 Gran Coupe,20005,57268
BMW,430,20005,20471
BMW,430 Gran Coupe,20005,34992056
BMW,435,20005,54807
BMW,435 Gran Coupe,20005,57267
BMW,440,20005,20436
BMW,440 Gran Coupe,20005,34992145
BMW,M4,20005,56127
BMW,5-Series,20005,"20470,20496,20498,36302078,20500,36963,54811,20502,36376059,20481,20487,35050,47944,21396"
BMW,525,20005,20470
BMW,528,20005,20496
BMW,530,20005,20498
BMW,530e,20005,36302078
BMW,535,20005,20500
BMW,535 Gran Turismo,20005,36963
BMW,535d,20005,54811
BMW,540,20005,20502
BMW,540d,20005,36376059
BMW,545,20005,20481
BMW,550,20005,20487
BMW,550 Gran Turismo,20005,35050
BMW,ActiveHybrid 5,20005,47944
BMW,M5,20005,21396
BMW,6-Series,20005,"20513,48064,36326932,20524,20515,49763,57269,21420,52547"
BMW,640,20005,20513
BMW,640 Gran Coupe,20005,48064
BMW,640 Gran Turismo,20005,36326932
BMW,645,20005,20524
BMW,650,20005,20515
BMW,650 Gran Coupe,20005,49763
BMW,ALPINA B6 Gran Coupe,20005,57269
BMW,M6,20005,21420
BMW,M6 Gran Coupe,20005,52547
BMW,7-Series,20005,"20532,20539,35346517,20534,20536,20538,56187,49923,35923,20625"
BMW,735,20005,20532
BMW,740,20005,20539
BMW,740e,20005,35346517
BMW,745,20005,20534
BMW,750,20005,20536
BMW,760,20005,20538
BMW,ActiveHybrid 7,20005,56187
BMW,ActiveHybrid 740,20005,49923
BMW,ActiveHybrid 750,20005,35923
BMW,ALPINA B7,20005,20625
BMW,840,20005,20562
BMW,850,20005,20546
BMW,i3,20005,56067
BMW,i8,20005,56068
BMW,M-Series,20005,"43243,21388,33763017,56207,34434113,21392,56127,21396,36303139,21420,52547,36294682,32885,33023,22334"
BMW,1 Series M,20005,43243
BMW,M,20005,21388
BMW,M2,20005,33763017
BMW,M235,20005,56207
BMW,M240,20005,34434113
BMW,M3,20005,21392
BMW,M4,20005,56127
BMW,M5,20005,21396
BMW,M550,20005,36303139
BMW,M6,20005,21420
BMW,M6 Gran Coupe,20005,52547
BMW,M760,20005,36294682
BMW,X5 M,20005,32885
BMW,X6 M,20005,33023
BMW,Z4 M,20005,22334
BMW,X-Series,20005,"39483,48263,36365322,22310,56907,22378,30032858,32885,22312,33023"
BMW,ActiveHybrid X6,20005,39483
BMW,X1,20005,48263
BMW,X2,20005,36365322
BMW,X3,20005,22310
BMW,X4,20005,56907
BMW,X5,20005,22378
BMW,X5 eDrive,20005,30032858
BMW,X5 M,20005,32885
BMW,X6,20005,22312
BMW,X6 M,20005,33023
BMW,Z3,20005,22333
BMW,Z4,20005,22395
BMW,Z8,20005,22396
Bugatti,Veyron,33583,55767
Bugatti,Veyron 16.4,33583,33603
Buick,Cascada,20006,30000872
Buick,Century,20006,20826
Buick,Enclave,20006,21058
Buick,Encore,20006,21071
Buick,Envision,20006,33796893
Buick,LaCrosse,20006,21355
Buick,LeSabre,20006,21393
Buick,Lucerne,20006,21406
Buick,Park Avenue,20006,21713
Buick,Rainier,20006,21798
Buick,Reatta,20006,21876
Buick,Regal,20006,21878
Buick,Regal Sportback,20006,36321969
Buick,Regal TourX,20006,36321972
Buick,Rendezvous,20006,21883
Buick,Riviera,20006,21830
Buick,Roadmaster,20006,21832
Buick,Skylark,20006,22077
Buick,Terraza,20006,22167
Buick,Verano,20006,46183
Cadillac,Allante,20052,20624
Cadillac,ATS,20052,47563
Cadillac,ATS-V,20052,30001954
