name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43400,Napleton Autowerks Loves Park,(815) 916-4212,4.9,511,,55,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFSXJR016445
2018 Audi Q3 2.0T Premium Plus,Audi,Black,42825,Napleton Autowerks Loves Park,(815) 916-4212,4.9,511,,55,Brilliant Black,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS7JR016208
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43625,Napleton Autowerks Loves Park,(815) 916-4212,4.9,511,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS9JR021958
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41500,Napleton Autowerks Loves Park,(815) 916-4212,4.9,511,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR019349
2018 Audi Q3 2.0T Premium Plus,Audi,White,41730,International Autos,(414) 203-5342,3.8,56,,68,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS2JR011062
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41730,International Autos,(414) 203-5342,3.8,56,,68,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS6JR011212
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41645,International Autos,(414) 203-5342,3.8,56,,68,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS3JR009837
2018 Audi Q3 2.0T Premium Plus,Audi,Black,41155,International Autos,(414) 203-5342,3.8,56,,68,Brilliant Black,Black,6-Speed Automatic,AWD,WA1JCCFS7JR011445
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41165,Audi North Shore,(414) 375-4847,3.5,14,,72,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFSXJR012072
2018 Audi Q3 2.0T Sport Premium,Audi,Blue,38455,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,96,Utopia Blue Metallic,Black,6-Speed Automatic,AWD,WA1ECCFSXJR018729
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,45150,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,96,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR014670
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41300,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,96,Utopia Blue Metallic,Rock Gray,6-Speed Automatic,AWD,WA1JCCFS5JR013761
2018 Audi Q3 2.0T Premium Plus,Audi,White,45045,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,96,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS8JR022065
2018 Audi Q3 2.0T Premium Plus,Audi,Silver,41500,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Florett Silver Metallic,Black,6-Speed Automatic w/OD,AWD,WA1JCCFS4JR019325
2018 Audi Q3 2.0T Premium Plus,Audi,White,42345,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Glacier White Metallic,Black,6-Speed Automatic w/OD,AWD,WA1JCCFS9JR013889
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41500,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Utopia_Blue,,6-Speed Automatic w/OD,AWD,WA1JCCFS1JR019394
2018 Audi Q3 2.0T Premium Plus,Audi,Black,42825,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Brilliant_Black,,6-Speed Automatic w/OD,AWD,WA1JCCFS5JR016143
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41375,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Utopia Blue Metallic,Rock Gray,6-Speed Automatic w/OD,AWD,WA1JCCFS3JR023768
2018 Audi Q3 2.0T Premium Plus,Audi,Other,43400,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Florett_Silver,,6-Speed Automatic w/OD,AWD,WA1JCCFS5JR016191
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43400,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic w/OD,AWD,WA1JCCFS3JR016447
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41500,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Utopia_Blue,,6-Speed Automatic w/OD,AWD,WA1JCCFS0JR019399
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41275,Audi Hoffman Estates,(847) 961-4989,4.9,1175,,97,Gray,,6-Speed Automatic w/OD,AWD,WA1JCCFSXJR026179
2018 Audi Q3 2.0T Premium Plus,Audi,White,43375,The Audi Exchange,(847) 739-9944,4.9,574,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS0JR016941
2018 Audi Q3 2.0T Premium Plus,Audi,White,43375,The Audi Exchange,(847) 739-9944,4.9,574,,99,Glacier White Metallic,Rock Gray,6-Speed Automatic,AWD,WA1JCCFS4JR017316
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43175,The Audi Exchange,(847) 739-9944,4.9,574,,99,Daytona Gray Pearl Effect,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS8JR020526
2018 Audi Q3 2.0T Sport Premium,Audi,Gray,40625,The Audi Exchange,(847) 739-9944,4.9,574,,99,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1ECCFS3JR017308
2018 Audi Q3 2.0T Sport Premium,Audi,Gray,38525,The Audi Exchange,(847) 739-9944,4.9,574,,99,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1ECCFS7JR017098
2018 Audi Q3 2.0T Premium Plus,Audi,White,43225,The Audi Exchange,(847) 739-9944,4.9,574,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS1JR012008
2018 Audi Q3 2.0T Premium Plus,Audi,White,43375,The Audi Exchange,(847) 739-9944,4.9,574,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS4JR016974
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43375,The Audi Exchange,(847) 739-9944,4.9,574,,99,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS8JR017335
2018 Audi Q3 2.0T Premium Plus,Audi,White,43225,The Audi Exchange,(847) 739-9944,4.9,574,,99,Glacier White Metallic,Rock Gray,6-Speed Automatic,AWD,WA1JCCFS5JR012013
2018 Audi Q3 2.0T Sport Premium,Audi,White,40625,The Audi Exchange,(847) 739-9944,4.9,574,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1ECCFS8JR016946
2018 Audi Q3 2.0T Premium Plus,Audi,Black,42800,The Audi Exchange,(847) 739-9944,4.9,574,,99,Brilliant Black,Black,6-Speed Automatic,AWD,WA1JCCFS1JR016916
