name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2018 Honda Civic LX,Honda,Black,20530,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Crystal Black Pearl,Black,Automatic CVT,FWD,19XFC2F56JE013599
2018 Honda Civic LX,Honda,Silver,20530,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Lunar Silver Metallic,Black,Automatic CVT,FWD,19XFC2F59JE028761
2018 Honda Civic EX,Honda,Black,22130,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Crystal Black Pearl,Black,Automatic CVT,FWD,19XFC2F7XJE023246
2018 Honda Civic EX,Honda,Red,22130,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Burgundy Night Pearl,Ivory,Automatic CVT,FWD,19XFC2F7XJE028866
2018 Honda Civic LX,Honda,Silver,20530,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Lunar Silver Metallic,Black,Automatic CVT,FWD,19XFC2F58JE021509
2018 Honda Civic EX,Honda,Silver,22130,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Lunar Silver Metallic,Black,Automatic CVT,FWD,19XFC2F73JE023220
2018 Honda Civic EX,Honda,Black,22130,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Crystal Black Pearl,Black,Automatic CVT,FWD,19XFC2F78JE017025
2018 Honda Civic Sport,Honda,Gray,23190,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Sonic Gray Pearl,Black,Automatic CVT,FWD,SHHFK7H46JU211385
2018 Honda Civic LX,Honda,Gray,20530,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Modern Steel Metallic,Gray,Automatic CVT,FWD,19XFC2F59JE029196
2018 Honda Civic EX,Honda,Gray,22130,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Modern Steel Metallic,Black,Automatic CVT,FWD,19XFC2F74JE018303
2018 Honda Civic LX,Honda,Silver,21590,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Lunar Silver Metallic,Black,Automatic CVT,FWD,SHHFK7H2XJU211419
2018 Honda Civic LX,Honda,White,20530,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Taffeta White,Ivory,Automatic CVT,FWD,19XFC2F59JE025665
2018 Honda Civic EX-T,Honda,Gray,23290,Zimbrick at Fish Hatchery Road,(608) 338-1569,4.4,376,,2,Modern Steel Metallic,Gray,Automatic CVT,FWD,19XFC1F32JE002074
2018 Honda Civic Sport Touring,Honda,Other,29540,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Pol Met Met,Blk Lth-Trimmed,continuously variable,Front Wheel Drive,SHHFK7H93JU215986
2018 Honda Civic LX,Honda,Blue,21925,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Aegean Blue Metallic,Blk Gry,continuously variable (cvt),Front Wheel Drive,2HGFC4B03JH300068
2018 Honda Civic EX,Honda,Blue,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Cosmic Blue Metallic,Gray,continuously variable (cvt),Front Wheel Drive,19XFC2F7XJE028883
2018 Honda Civic EX,Honda,White,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,White Orchid Pearl,Ivory Seat Trim,continuously variable (cvt),Front Wheel Drive,19XFC2F79JE021973
2018 Honda Civic EX,Honda,Silver,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Lunar Silver Metallic,Black,continuously variable (cvt),Front Wheel Drive,19XFC2F79JE007331
2018 Honda Civic Touring,Honda,White,27590,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,White Orchid Pearl,Blk Lth,continuously variable (cvt),Front Wheel Drive,19XFC1F95JE002591
2018 Honda Civic EX,Honda,Gray,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Black,continuously variable (cvt),Front Wheel Drive,19XFC2F72JE020941
2018 Honda Civic LX,Honda,White,20940,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Taffeta White,Black/Ivory,continuously variable (cvt),Front Wheel Drive,2HGFC4B52JH301580
2018 Honda Civic LX,Honda,Gray,20530,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Gray,continuously variable (cvt),Front Wheel Drive,19XFC2F53JE021630
2018 Honda Civic EX,Honda,Red,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Rallye Red,Black,continuously variable (cvt),Front Wheel Drive,2HGFC2F76JH533874
2018 Honda Civic LX,Honda,Red,20530,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Rallye Red,Black,continuously variable (cvt),Front Wheel Drive,2HGFC2F51JH539922
2018 Honda Civic LX,Honda,Silver,20530,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Lunar Silver Metallic,Black,continuously variable (cvt),Front Wheel Drive,19XFC2F53JE027931
2018 Honda Civic EX,Honda,Gray,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Black,continuously variable (cvt),Front Wheel Drive,19XFC2F70JE007993
2018 Honda Civic EX,Honda,Gray,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Gray,continuously variable (cvt),Front Wheel Drive,19XFC2F77JE022412
2018 Honda Civic Sport,Honda,Other,23340,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Pol Met Met,Blk Fabric,continuously variable,Front Wheel Drive,SHHFK7H49JU213504
2018 Honda Civic Touring,Honda,Blue,27590,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Aegean Blue Metallic,Blk Lth,continuously variable (cvt),Front Wheel Drive,19XFC1F98JE002214
2018 Honda Civic LX,Honda,Red,20530,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Rallye Red,Black,continuously variable (cvt),Front Wheel Drive,2HGFC2F50JH511495
2018 Honda Civic EX,Honda,Gray,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Black,continuously variable (cvt),Front Wheel Drive,19XFC2F78JE017087
2018 Honda Civic LX,Honda,Red,20530,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Rallye Red,Black,continuously variable (cvt),Front Wheel Drive,2HGFC2F51JH529407
2018 Honda Civic EX,Honda,Gray,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Gray,continuously variable (cvt),Front Wheel Drive,19XFC2F7XJE013655
2018 Honda Civic EX,Honda,Black,24040,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Crystal Black Pearl,Blk Fabric,continuously variable,Front Wheel Drive,SHHFK7H52JU215541
2018 Honda Civic LX,Honda,Black,20530,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Crystal Black Pearl,Black,continuously variable (cvt),Front Wheel Drive,19XFC2F53JE027184
2018 Honda Civic EX,Honda,Gray,23290,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Modern Stl Met,Black,continuously variable (cvt),Front Wheel Drive,19XFC1F3XJE002307
2018 Honda Civic EX,Honda,Blue,24040,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,Aegean Blue Metallic,Blk Fabric,continuously variable,Front Wheel Drive,SHHFK7H57JU211730
2018 Honda Civic EX,Honda,White,22130,Wilde East Towne Honda,(608) 807-5370,4.9,2684,,7,White Orchid Pearl,Ivory Seat Trim,continuously variable (cvt),Front Wheel Drive,19XFC2F71JE014497
2018 Honda Civic LX,Honda,Red,20515,Napleton Autowerks Loves Park,(815) 916-4212,4.9,365,,55,Rallye Red,,Automatic CVT,FWD,2HGFC2F53JH500622
2017 Honda Civic LX,Honda,Black,20025,Napleton Autowerks Loves Park,(815) 916-4212,4.9,365,,55,Crystal Black Pearl,,6-Speed Manual,FWD,2HGFC4A53HH311921
2018 Honda Civic Sport,Honda,White,22375,Schlossmann Honda City,(888) 276-5849,4.3,43,,68,White Orchid Pearl,Black,6-Speed Manual,FWD,SHHFK7G42JU202510
2018 Honda Civic LX,Honda,Red,20530,Schlossmann Honda City,(888) 276-5849,4.3,43,,68,Burgundy Night Pearl,Black,Automatic CVT,FWD,2HGFC2F56JH529385
