name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2018 Audi Q3 2.0T Premium Plus,Audi,White,43375,The Audi Exchange,(847) 739-9944,4.9,581,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS0JR016941
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,44475,The Audi Exchange,(847) 739-9944,4.9,581,,99,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR021327
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43375,The Audi Exchange,(847) 739-9944,4.9,581,,99,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS8JR017335
2018 Audi Q3 2.0T Sport Premium,Audi,White,40625,The Audi Exchange,(847) 739-9944,4.9,581,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1ECCFS8JR016946
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41125,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Gray,,6-Speed Automatic w/OD,AWD,WA1JCCFS5JR026378
2018 Audi Q3 2.0T Premium Plus,Audi,White,43375,The Audi Exchange,(847) 739-9944,4.9,581,,99,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS4JR016943
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41500,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Utopia_Blue,,6-Speed Automatic w/OD,AWD,WA1JCCFS1JR019394
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43625,Napleton Autowerks Loves Park,(815) 916-4212,4.9,566,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS9JR021958
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43150,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Utopia Blue Metallic,Black,6-Speed Automatic w/OD,AWD,WA1JCCFS8JR014709
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41125,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Gray,,6-Speed Automatic w/OD,AWD,WA1JCCFS9JR026352
2018 Audi Q3 2.0T Premium,Audi,Gray,37845,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Gray,,6-Speed Automatic w/OD,AWD,WA1ECCFS0JR026080
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41275,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Gray,,6-Speed Automatic w/OD,AWD,WA1JCCFSXJR026179
2018 Audi Q3 2.0T Premium Plus,Audi,White,43375,The Audi Exchange,(847) 739-9944,4.9,581,,99,Glacier White Metallic,Rock Gray,6-Speed Automatic,AWD,WA1JCCFS9JR017215
2018 Audi Q3 2.0T Premium Plus,Audi,White,41275,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Glacier White,,6-Speed Automatic w/OD,AWD,WA1JCCFSXJR025999
2018 Audi Q3 2.0T Premium Plus,Audi,White,41730,International Autos,(414) 203-5342,3.4,60,,68,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS2JR011062
2018 Audi Q3 2.0T Premium Plus,Audi,Black,40700,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Brilliant_Black,,6-Speed Automatic w/OD,AWD,WA1JCCFS3JR026248
2018 Audi Q3 2.0T Premium Plus,Audi,Silver,41500,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Florett Silver Metallic,Black,6-Speed Automatic w/OD,AWD,WA1JCCFS4JR019325
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41500,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Utopia_Blue,,6-Speed Automatic w/OD,AWD,WA1JCCFS0JR019399
2018 Audi Q3 2.0T Sport Premium quattro,Audi,Gray,37425,International Autos,(414) 203-5342,3.4,60,,68,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1ECCFS5JR024793
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43400,Napleton Autowerks Loves Park,(815) 916-4212,4.9,566,,55,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFSXJR016445
2018 Audi Q3 2.0T Premium Plus,Audi,Black,42825,Napleton Autowerks Loves Park,(815) 916-4212,4.9,566,,55,Brilliant Black,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS7JR016208
2018 Audi Q3 2.0T Premium Plus,Audi,White,40875,International Autos,(414) 203-5342,3.4,60,,68,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS4JR013539
2018 Audi Q3 2.0T Sport Premium,Audi,White,37950,The Audi Exchange,(847) 739-9944,4.9,581,,99,Cortina White,Chestnut Brown,6-Speed Automatic,AWD,WA1ECCFS6JR016993
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41525,Bergstrom Imports on Victory Lane,(877) 245-2925,4,390,,96,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFSXJR028062
2018 Audi Q3 2.0T Premium,Audi,White,35950,The Audi Exchange,(847) 739-9944,4.9,581,,99,Cortina White,Black,6-Speed Automatic,FWD,WA1BCCFS3JR022270
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43375,The Audi Exchange,(847) 739-9944,4.9,581,,99,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS8JR016959
2018 Audi Q3 2.0T Premium Plus,Audi,Other,43400,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Florett_Silver,,6-Speed Automatic w/OD,AWD,WA1JCCFS5JR016191
2018 Audi Q3 2.0T Premium Plus,Audi,White,43625,The Audi Exchange,(847) 739-9944,4.9,581,,99,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS5JR021438
2018 Audi Q3 2.0T Premium Plus,Audi,Black,40550,Audi Hoffman Estates,(847) 961-4989,4.9,1235,,97,Brilliant_Black,,6-Speed Automatic w/OD,AWD,WA1JCCFS6JR026356
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41500,Napleton Autowerks Loves Park,(815) 916-4212,4.9,566,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR019349
